benchmark,ablation,answer_space,subset_n,changed,full_wins,ablation_wins,full_net_gain,full_acc_overall,ablation_acc_overall,changed_subset_full_acc,changed_subset_ablation_acc,changed_subset_delta
ocrbench,frequency_only,multiple_choice,9,0,0,0,0,0.444444,0.444444,NA,NA,NA
ocrbench,frequency_only,numeric,209,2,1,1,0,0.789474,0.789474,0.500000,0.500000,0.000000
ocrbench,frequency_only,ocr_text_short,327,11,2,1,1,0.828746,0.825688,0.181818,0.090909,-0.090909
ocrbench,frequency_only,open_entity,272,12,3,3,0,0.724265,0.724265,0.333333,0.333333,0.000000
ocrbench,frequency_only,unknown,64,6,0,0,0,0.265625,0.265625,0.000000,0.000000,0.000000
ocrbench,no_format,caption_like,53,0,0,0,0,0.301887,0.301887,NA,NA,NA
ocrbench,no_format,chart_or_diagram,66,0,0,0,0,0.545455,0.545455,NA,NA,NA
ocrbench,no_format,multiple_choice,9,0,0,0,0,0.444444,0.444444,NA,NA,NA
ocrbench,no_format,numeric,209,1,1,0,1,0.789474,0.784689,1.000000,0.000000,-1.000000
ocrbench,no_format,ocr_text_short,327,0,0,0,0,0.828746,0.828746,NA,NA,NA
ocrbench,no_format,open_entity,272,0,0,0,0,0.724265,0.724265,NA,NA,NA
ocrbench,no_format,unknown,64,0,0,0,0,0.265625,0.265625,NA,NA,NA
ocrbench,no_base_consistency,caption_like,53,2,0,0,0,0.301887,0.301887,0.000000,0.000000,0.000000
ocrbench,no_base_consistency,chart_or_diagram,66,5,0,1,-1,0.545455,0.560606,0.000000,0.200000,0.200000
ocrbench,no_base_consistency,multiple_choice,9,3,1,0,1,0.444444,0.333333,0.333333,0.000000,-0.333333
ocrbench,no_base_consistency,numeric,209,7,2,1,1,0.789474,0.784689,0.285714,0.142857,-0.142857
ocrbench,no_base_consistency,ocr_text_short,327,6,0,0,0,0.828746,0.828746,0.000000,0.000000,0.000000
ocrbench,no_base_consistency,open_entity,272,8,2,3,-1,0.724265,0.727941,0.375000,0.500000,0.125000
